שם פריט,מחיר,קטגוריה,price_val
גלידה שמנת תות שוקולד לבן 4.5 קג קפואים,₪ 105.00,גלידה,105.0
חומוס גרגירים קפוא סנפרוסט קפואים,₪ 12.00,חומוס,12.0
חומוס גרגרים מהדרין קפוא קפואים,₪ 15.00,חומוס,15.0
טבעות בצל טמפורה תפוגן 1 קג קפואים,₪ 35.10,טבעות,35.1
טבעות בצל תפוגן 2 קג קפואים,₪ 48.50,טבעות,48.5
טורטיה קוטר 20 שחף קפואים,₪ 1.50,טורטיה,1.5
טורטיה קוטר 25 בדץ קפואים,₪ 2.20,טורטיה,2.2
טורטיה קוטר 30 מהדרין קפואים,₪ 2.40,טורטיה,2.4
כדורי בצק לפיצה 300 גרם קפואים,₪ 3.90,כדורי,3.9
כדורי בצק לפיצה 480 גרם קפואים,₪ 6.24,כדורי,6.24
כדורי פירה 2 קג קפואים,₪ 48.36,כדורי,48.36
כרובית 800 גרם קפוא גרינס קפואים,₪ 10.00,כרובית,10.0
כרובית מילוטל בדץ 2.5 קג קפואים,₪ 26.00,כרובית,26.0
כרובית מצופה מהדרין 1 קג קפואים,₪ 38.00,כרובית,38.0
כרובית תפזורת מהדרין קפואים,₪ 25.00,כרובית,25.0
לקט ירקות קפוא קפואים,₪ 12.00,לקט,12.0
מחית פטל אדום קפואה פונטייה 1 קג קפואים,₪ 100.00,מחית,100.0
מלפפון קורנישון תומר 670 גרם רובין קפואים,₪ 10.50,מלפפון,10.5
סטייק אנטריקוט וילה מרצדס קפואים,₪ 56.00,סטייק,56.0
סלמון מעושן 100 גרם מהדרין קפואים,₪ 16.00,סלמון,16.0
סלמון מעושן 100 גרם עדה חרדית קפואים,₪ 16.00,סלמון,16.0
סלמון מעושן פרוס 500 גרם קפואים,₪ 75.00,סלמון,75.0
סלמון מעושן פרוס הילטון שקיל קפואים,₪ 156.36,סלמון,156.36
סלמון מעושן פרוס מהדרין שקיל קפואים,₪ 150.00,סלמון,150.0
ספירולינה 10 יח 10 גרם קפואים,₪ 29.90,ספירולינה,29.9
פוקאצה מחמצת עבודת יד 24 יחידות קפואים,₪ 4.50,פוקאצה,4.5
פילה אמנון 9-7 עדה חרדית קפואים,₪ 26.00,פילה,26.0
פילה דניס 140-100 תפזורת קפואים,₪ 80.00,פילה,80.0
פילה לברק יפני 9-7 שקיל קפואים,₪ 46.00,פילה,46.0
פילה סלמון נורווגי 1.8-1.4 קג קפואים,₪ 74.00,פילה,74.0
פילה סלמון נורווגי 2.3-1.8 קג קפואים,₪ 80.00,פילה,80.0
פילה סלמון פרימיום תנובה קפואים,₪ 80.00,פילה,80.0
פיתה 100 גרם מהדרין קפואים,₪ 1.60,פיתה,1.6
פריקה 5 קג סוגת קפואים,₪ 70.00,פריקה,70.0
ציפס אמריקאי תפוגן 2.5 קג קפואים,₪ 34.00,ציפס,34.0
ציפס סטייק תפוגן 2.5 קג קפואים,₪ 35.00,ציפס,35.0
ציפס פלחים פוטטוס 1 קג קפואים,₪ 14.00,ציפס,14.0
ציפס קוביות תפוגן 2.5 קג קפואים,₪ 33.86,ציפס,33.86
ציפס קלאסי 2.5 קג קפואים,₪ 31.00,ציפס,31.0
ציפס קלאסי מילוטל 2 קג קפואים,₪ 27.00,ציפס,27.0
ציפס קלאסי מילוטל 2.5 קג קפואים,₪ 34.00,ציפס,34.0
ציפס קריספי בטטה 2 קג קפואים,₪ 44.29,ציפס,44.29
ציפס קריספי מיוחד תפוגן 2.5 קג קפואים,₪ 38.00,ציפס,38.0
ציפס קריספי פוטטוס 2 קג קפואים,₪ 32.00,ציפס,32.0
צונגו דג גרידת לימון קפואים,₪ 45.00,צונגו,45.0
צונגו דג זהבנון בטמפורה קפואים,₪ 48.00,צונגו,48.0
ציפס בטטה חלק קפואים,₪ 27.00,ציפס,27.0
ציפס בטטה מסולסל קפואים,₪ 27.00,ציפס,27.0
קדאיף שיערות 450 גרם קפואים,₪ 18.00,קדאיף,18.0
קדאיף שערות תפזורת קפואים,₪ 22.00,קדאיף,22.0
שיני שום קפוא בית יוסף 1 קג קפואים,₪ 25.00,שיני,25.0
שיני שום קפוא רובין 1 קג קפואים,₪ 25.00,שיני,25.0
שניצלונים צונגו עוף תנובה שקיל קפואים,₪ 45.00,שניצלונים,45.0
שעועית ירוקה דקיקה מעודנת קפואים,₪ 15.00,שעועית,15.0
שעועית ירוקה חתוכה קפואים,₪ 10.00,שעועית,10.0
שעועית ירוקה שלמה מעודנת 1 קג קפואים,₪ 12.50,שעועית,12.5
שעועית מעודנת תפזורת סנפרוסט קפואים,₪ 15.94,שעועית,15.94
שעועית שלמה קפוא 1 קג קפואים,₪ 9.88,שעועית,9.88
תירס גרעינים קפוא 1 קג קפואים,₪ 12.00,תירס,12.0
תירס קפוא סנפרוסט 1 קג קפואים,₪ 11.30,תירס,11.3
תרד טחון 800 גרם אישור חול גרינס קפואים,₪ 10.00,תרד,10.0
תרד מדליונים קפוא 1 קג קפואים,₪ 12.50,תרד,12.5
תרד קפוא טחון 1 קג קפואים,₪ 11.50,תרד,11.5
אריסה תמרה 1 קג רטבים וממרחים,₪ 23.80,אריסה,23.8
דבש בית יצחק 20 גרם רטבים וממרחים,₪ 1.35,דבש,1.35
דבש טהור 1.5פוליבה קג רטבים וממרחים,₪ 60.00,דבש,60.0
דבש טהור 3 קג רטבים וממרחים,₪ 120.00,דבש,120.0
חמאת שקדים 300 גרם שקד תבור רטבים וממרחים,₪ 25.00,חמאת,25.0
חרדל דיזון גרגירים 350 גרם רטבים וממרחים,₪ 14.00,חרדל,14.0
חרדל דיזון גרגירים 5 קג רטבים וממרחים,₪ 65.00,חרדל,65.0
חרדל דיזון פורטה חלק 5 קג רטבים וממרחים,₪ 65.00,חרדל,65.0
חרדל דיזון פורטה 370 גרם רטבים וממרחים,₪ 12.00,חרדל,12.0
חרדל חלק אסם 5 קג רטבים וממרחים,₪ 100.00,חרדל,100.0
חרדל חלק תלמה 5 קג רטבים וממרחים,₪ 95.00,חרדל,95.0
חרדל מנות הלמנס 900 יח רטבים וממרחים,₪ 155.00,חרדל,155.0
טבסקו אדום 350 מל רטבים וממרחים,₪ 56.00,טבסקו,56.0
טבסקו אדום 60 מל רטבים וממרחים,₪ 13.76,טבסקו,13.76
מחית כמהין %5 ייבוא כהן רטבים וממרחים,₪ 78.00,מחית,78.0
מחית כמהין %5 כשר 500 גרם רטבים וממרחים,₪ 78.00,מחית,78.0
מחית פיסטוק 1 קג רטבים וממרחים,₪ 145.00,מחית,145.0
מטבוחה 400 גרם רטבים וממרחים,₪ 11.59,מטבוחה,11.59
מיונז אמיתי 5 קג מכסה כחול -כהן רטבים וממרחים,₪ 72.00,מיונז,72.0
מיונז אמיתי תמרה 5 קג רטבים וממרחים,₪ 78.00,מיונז,78.0
מיונז אסם אמיתי 5 קג רטבים וממרחים,₪ 88.00,מיונז,88.0
מיונז היינץ צנצנת 460 גרם רטבים וממרחים,₪ 14.20,מיונז,14.2
מיונז הלמנס 3.44 קג רטבים וממרחים,₪ 80.00,מיונז,80.0
מיונז הלמנס מנות 900 יחידות רטבים וממרחים,₪ 278.00,מיונז,278.0
מיונז לחיץ היינץ 395 גרם רטבים וממרחים,₪ 15.00,מיונז,15.0
מיונז לחיץ טומי 280 גרם רטבים וממרחים,₪ 10.00,מיונז,10.0
מיונז מנות 600 יחידות ENIF רטבים וממרחים,₪ 180.00,מיונז,180.0
מיונז תלמה 500 גרם רטבים וממרחים,₪ 12.00,מיונז,12.0
מיונז תלמה אמיתי 5 קג רטבים וממרחים,₪ 104.82,מיונז,104.82
מירין 500 מל )דאניינג( רטבים וממרחים,₪ 15.00,מירין,15.0
מלית מנגו פסיפלור 4 קג רטבים וממרחים,₪ 70.00,מלית,70.0
מלית פירות יער 4 קג רטבים וממרחים,₪ 72.00,מלית,72.0
ממרח זיתים קלמטה -כהן 1 קג רטבים וממרחים,₪ 32.00,ממרח,32.0
ממרח זיתים שחורים תמרה רטבים וממרחים,₪ 34.00,ממרח,34.0
ממרח חלבה פוליבה 5 קג רטבים וממרחים,₪ 71.40,ממרח,71.4
ממרח חלפיניו 1 קג רטבים וממרחים,₪ 28.00,ממרח,28.0
ממרח לוטוס 8 קג רטבים וממרחים,₪ 360.00,ממרח,360.0
ממרח לימון כבוש תמרה 1 קג רטבים וממרחים,₪ 28.00,ממרח,28.0
ממרח לסנדביץ טוניסאי 1 קג רטבים וממרחים,₪ 23.00,ממרח,23.0
ממרח נוטלה אורגינל 3 קג רטבים וממרחים,₪ 117.30,ממרח,117.3
ממרח עגבניות מיובשות כהן 1 קג רטבים וממרחים,₪ 35.00,ממרח,35.0
ממרח עגבניות תמרה 1 קג רטבים וממרחים,₪ 35.00,ממרח,35.0
ממרח פלפלים קלויים כהן 1 קג רטבים וממרחים,₪ 32.00,ממרח,32.0
ממרח פלפלים תמרה 1 קג רטבים וממרחים,₪ 38.00,ממרח,38.0
ממרח פסטו בזיליקום 1 קג כהן רטבים וממרחים,₪ 32.00,ממרח,32.0
ממרח פסטו תמרה 1 קג רטבים וממרחים,₪ 33.00,ממרח,33.0
ממרח פסטו תמרה עדה חרדית 1 קג רטבים וממרחים,₪ 35.00,ממרח,35.0
ממרח צימיצורי תמרה 1 קג רטבים וממרחים,₪ 35.00,ממרח,35.0
ממרח ציפטולה 1 קג רטבים וממרחים,₪ 37.00,ממרח,37.0
ממרח שוקולד בלגי פוליבה 4 קג רטבים וממרחים,₪ 63.00,ממרח,63.0
ממרח שוקולד השחר חלבי 500 גרם רטבים וממרחים,₪ 16.00,ממרח,16.0
ממרח שוקולד השחר פרווה 400 גרם רטבים וממרחים,₪ 13.00,ממרח,13.0
ממרח תמרים מועשר מוסדי 22 קג רטבים וממרחים,₪ 175.00,ממרח,175.0
ממרח תמרים פוליבה 450 גרם רטבים וממרחים,₪ 6.50,ממרח,6.5
מרקחת פירות יער 5 קג רטבים וממרחים,₪ 90.00,מרקחת,90.0
מרקחת תות שדה 20 גרם רטבים וממרחים,₪ 0.55,מרקחת,0.55
מרקחת תות שדה 5 קג רטבים וממרחים,₪ 78.00,מרקחת,78.0
מרקחת תפוזים 30 גרם רטבים וממרחים,₪ 1.80,מרקחת,1.8
סחוג אדום 1 קג תמרה רטבים וממרחים,₪ 24.00,סחוג,24.0
סילאן טבעי 700 גרם יד מרדכי רטבים וממרחים,₪ 22.00,סילאן,22.0
סילאן טבעי 900 גרם פוליבה רטבים וממרחים,₪ 20.00,סילאן,20.0
סילאן טבעי גלון 5 קג פוליבה רטבים וממרחים,₪ 75.00,סילאן,75.0
סילאן סירופ 5 קג פוליבה רטבים וממרחים,₪ 70.00,סילאן,70.0
סירופ מייפל 5 קג כהן רטבים וממרחים,₪ 58.00,סירופ,58.0
סירופ מייפל אמריקאי 1 ליטר רטבים וממרחים,₪ 73.70,סירופ,73.7
סירופ מייפל טבעי 189 מל רטבים וממרחים,₪ 30.00,סירופ,30.0
סירופ מייפל קארט דאור 6.4 קג רטבים וממרחים,₪ 89.00,סירופ,89.0
סירופ שוקולד 5 קג כהן רטבים וממרחים,₪ 60.00,סירופ,60.0
סירופ שוקולד קארט דאור 6.4 קג רטבים וממרחים,₪ 99.75,סירופ,99.75
סירופ תות 6.3 קג רטבים וממרחים,₪ 125.00,סירופ,125.0
קטשופ 4.5 קג כהן עדח רטבים וממרחים,₪ 57.00,קטשופ,57.0
קטשופ אסם דלי 4.45 קג רטבים וממרחים,₪ 65.00,קטשופ,65.0
קטשופ היינץ חריף 460 גרם רטבים וממרחים,₪ 12.00,קטשופ,12.0
קטשופ הלמנס מנות 996 יח רטבים וממרחים,₪ 155.00,קטשופ,155.0
קטשופ לחיץ ENIF נ 300 גרם רטבים וממרחים,₪ 11.00,קטשופ,11.0
קטשופ לחיץ אסם 750 גרם רטבים וממרחים,₪ 15.50,קטשופ,15.5
קטשופ לחיץ היינץ 435 גרם רטבים וממרחים,₪ 12.00,קטשופ,12.0
קטשופ מוסדי היינץ 13 קג רטבים וממרחים,₪ 182.00,קטשופ,182.0
קטשופ מוסדי הלמנס פאוץ 13 קג רטבים וממרחים,₪ 182.00,קטשופ,182.0
קטשופ מנות תמרה 500 יחידות רטבים וממרחים,₪ 150.00,קטשופ,150.0
קטשופ מתבל מנות 39 גרם היינץ רטבים וממרחים,₪ 3.80,קטשופ,3.8
קטשופ תמרה דלי 5 קג רטבים וממרחים,₪ 55.00,קטשופ,55.0
רוטב אלף האיים בלאק תמרה גלון רטבים וממרחים,₪ 55.00,רוטב,55.0
רוטב אלף האיים הלמנס 900 יחידות רטבים וממרחים,₪ 185.00,רוטב,185.0
רוטב אלף האיים תמרה גלון 4 ליטר רטבים וממרחים,₪ 56.00,רוטב,56.0
רוטב אלפרדו קנור 1 ליטר רטבים וממרחים,₪ 30.00,רוטב,30.0
רוטב ברביקיו בלאק 4.3 קג תמרה רטבים וממרחים,₪ 70.00,רוטב,70.0
רוטב ברביקיו 4.5 קג כהן עדח רטבים וממרחים,₪ 60.00,רוטב,60.0
רוטב ברביקיו היינץ לחיץ 480 גרם רטבים וממרחים,₪ 19.00,רוטב,19.0
רוטב ברביקיו הלמנס מנות 996 יח רטבים וממרחים,₪ 240.00,רוטב,240.0
רוטב ברביקיו מנות 600 יחידות ENIF רטבים וממרחים,₪ 145.00,רוטב,145.0
רוטב ברביקיו תמרה 4 ליטר רטבים וממרחים,₪ 60.00,רוטב,60.0
רוטב דגים 700 מל רטבים וממרחים,₪ 12.80,רוטב,12.8
רוטב דמי גלאס רטבים וממרחים,₪ 70.00,רוטב,70.0
רוטב ווסטרשייר 1 ליטר רטבים וממרחים,₪ 75.00,רוטב,75.0
רוטב ויניגרט הדרים 4 קג כהן רטבים וממרחים,₪ 55.00,רוטב,55.0
רוטב ויניגרט הדרים הלמנס 5.1 קג רטבים וממרחים,₪ 100.00,רוטב,100.0
רוטב ויניגרט הדרים תמרה גלון 4 ליטר רטבים וממרחים,₪ 55.00,רוטב,55.0
רוטב ויניגרט חרדל סילאן 1 ליטר רטבים וממרחים,₪ 18.92,רוטב,18.92
רוטב חלפיניו 500 גרם תמרה רטבים וממרחים,₪ 14.85,רוטב,14.85
רוטב חרדל ודבש 1 ליטר רטבים וממרחים,₪ 14.90,רוטב,14.9
רוטב חריף סרירצה גלון 4 ליטר רטבים וממרחים,₪ 85.00,רוטב,85.0
רוטב חריף פלפל קאיין 148 מל רטבים וממרחים,₪ 14.00,רוטב,14.0
רוטב טריאקי להקפצה גלון 4 ליטר רטבים וממרחים,₪ 52.00,רוטב,52.0
רוטב טריאקי קנור 6.4 קג רטבים וממרחים,₪ 125.00,רוטב,125.0
רוטב ישראלי לסלט 630 מל רטבים וממרחים,₪ 16.00,רוטב,16.0
רוטב מקסיקני בלאק גלון 4.1 קג רטבים וממרחים,₪ 66.00,רוטב,66.0
רוטב מרינדה שום ודבש גלון 4 ליטר רטבים וממרחים,₪ 52.00,רוטב,52.0
רוטב סויה גלון 4 ליטר רטבים וממרחים,₪ 45.00,רוטב,45.0
רוטב סויה יאמאסה פרימיום 18 ליטר רטבים וממרחים,₪ 239.43,רוטב,239.43
רוטב סויה יאמסה פרימיום 1.8 ליטר רטבים וממרחים,₪ 42.00,רוטב,42.0
רוטב סויה סיני פיין 4.5 קג רטבים וממרחים,₪ 65.00,רוטב,65.0
רוטב סויה קיקומן 1.2 ליטר רטבים וממרחים,₪ 25.00,רוטב,25.0
רוטב סויה קיקומן 3.79 ליטר רטבים וממרחים,₪ 85.00,רוטב,85.0
רוטב סויה קלאסי 4.6 קג י.כהן רטבים וממרחים,₪ 55.00,רוטב,55.0
רוטב סצואן קנור 6.2 קג רטבים וממרחים,₪ 112.00,רוטב,112.0
רוטב סריראצה 540 מל מזרח ומערב רטבים וממרחים,₪ 18.55,רוטב,18.55
רוטב סריראצה סופר חריף 455 מל רטבים וממרחים,₪ 18.55,רוטב,18.55
רוטב סריראצה סופר חריף 730 מל רטבים וממרחים,₪ 22.00,רוטב,22.0
רוטב סרירצה מיו 455 מל רטבים וממרחים,₪ 19.00,רוטב,19.0
רוטב פאד-תאי גלון 4 ליטר רטבים וממרחים,₪ 52.00,רוטב,52.0
רוטב צילי חריף גלון 4 ליטר רטבים וממרחים,₪ 45.00,רוטב,45.0
רוטב צילי חריף מנות הלמנס 996 יח רטבים וממרחים,₪ 245.00,רוטב,245.0
רוטב צילי חריף סיראצה 5.4 קג CCT רטבים וממרחים,₪ 70.00,רוטב,70.0
רוטב צילי מתוק 5.9 קג מזרח ומערב רטבים וממרחים,₪ 65.00,רוטב,65.0
רוטב צילי מתוק 4.6 קג -עדח כהן רטבים וממרחים,₪ 55.00,רוטב,55.0
רוטב צילי מתוק 4.8 קג פיין כשלפ רטבים וממרחים,₪ 60.00,רוטב,60.0
רוטב צילי מתוק הלתי בוי 5 קג כשר רטבים וממרחים,₪ 65.00,רוטב,65.0
רוטב צילי מתוק תמרה 4 ליטר רטבים וממרחים,₪ 56.00,רוטב,56.0
רוטב קיסר 1 ליטר רטבים וממרחים,₪ 22.00,רוטב,22.0
רוטב קיסר הלמנס גלון 4.9 קג רטבים וממרחים,₪ 110.00,רוטב,110.0
רוטב קרמל מלוח קארט דאור רטבים וממרחים,₪ 90.00,רוטב,90.0
רוטב שום בלאק תמרה 4 ליטר רטבים וממרחים,₪ 64.00,רוטב,64.0
רוטב שום מנות 600 יחידות ENIF רטבים וממרחים,₪ 110.00,רוטב,110.0
רוטב שום מנות הלמנס 900 יחידות רטבים וממרחים,₪ 225.00,רוטב,225.0
רוטב שום מנות תמרה 128 יח רטבים וממרחים,₪ 70.00,רוטב,70.0
רוטב שום תמרה 1 ליטר רטבים וממרחים,₪ 15.00,רוטב,15.0
רוטב שזיפים גלון 4 ליטר רטבים וממרחים,₪ 78.32,רוטב,78.32
רוטב שזיפים קנור 6.3 קג רטבים וממרחים,₪ 108.00,רוטב,108.0
רוטב שקשוקה עשירה גלון 4 ליטר רטבים וממרחים,₪ 90.00,רוטב,90.0
ריבת בצל בית יצחק 1 קג רטבים וממרחים,₪ 33.00,ריבת,33.0
ריבת בצל תמרה 1 קג רטבים וממרחים,₪ 34.00,ריבת,34.0
ריבת חלב פוליבה 340 גרם רטבים וממרחים,₪ 10.50,ריבת,10.5
ריבת חלב פרימיום 10 קג רטבים וממרחים,₪ 150.00,ריבת,150.0
שום כתוש 3 קג רטבים וממרחים,₪ 45.00,שום,45.0
שמן זית 750 מל OSSAB שמנים,₪ 40.00,שמן,40.0
שמן זית 750 מל ויליפוד שמנים,₪ 46.00,שמן,46.0
שמן זית הצפוני גלון 4 ליטר שמנים,₪ 165.00,שמן,165.0
שמן זית ויליפוד גלון 3 ליטר שמנים,₪ 120.00,שמן,120.0
שמן זית יד מרדכי 5 ליטר שמנים,₪ 200.00,שמן,200.0
שמן זית מעורב גלון 4 ליטר שמנים,₪ 55.00,שמן,55.0
שמן זית ספרדי גלון 3.8 ליטר כשרות לנדא שמנים,₪ 150.00,שמן,150.0
שמן זית פח 3 ליטר - כהן שמנים,₪ 140.00,שמן,140.0
שמן חמניות 5 ליטר ויליפוד שמנים,₪ 50.00,שמן,50.0
שמן חמניות פוליבה 5 ליטר שמנים,₪ 50.40,שמן,50.4
שמן סויה 10 ליטר שמנים,₪ 91.45,שמן,91.45
שמן סויה 17.4 ליטר OCRAY שמנים,₪ 160.00,שמן,160.0
שמן סויה 4.35 ליטר שמנים,₪ 38.00,שמן,38.0
שמן סויה גלון 17.4 ליטר פוליבה שמנים,₪ 160.00,שמן,160.0
שמן קוקוס 1 ליטר שמנים,₪ 40.00,שמן,40.0
שמן קנולה 1 ליטר שמנים,₪ 9.20,שמן,9.2
שמן קנולה 10 ליטר ויליפוד שמנים,₪ 90.00,שמן,90.0
שמן קנולה 17.4 ליטר שמנים,₪ 156.00,שמן,156.0
שמן קנולה 5 ליטר שמנים,₪ 45.00,שמן,45.0
שמן קנולה 5 ליטר שלי בר שמנים,₪ 45.00,שמן,45.0
שמן שומשום 2 ליטר שמנים,₪ 55.00,שמן,55.0
שמן תירס חיידר גלון 3 ליטר שמנים,₪ 31.00,שמן,31.0
שמן תירס שוקחה גלון 3 ליטר שמנים,₪ 34.00,שמן,34.0
אבקת שום תבלינים,₪ 25.00,אבקת,25.0
אגוז מוסקט טחון 1 קג תבלינים,₪ 78.00,אגוז,78.0
אורגנו אקסטרא ארוז 1 קג תבלינים,₪ 24.00,אורגנו,24.0
בהרט לקובה ובישול 1 קג -כהן תבלינים,₪ 43.85,בהרט,43.85
זנגווויל יבש טחון כהן תבלינים,₪ 32.00,זנגווויל,32.0
זעפראן 1 גרם תבלינים,₪ 20.00,זעפראן,20.0
זעתר אסלי חיידר 1 קג תבלינים,₪ 34.00,זעתר,34.0
זעתר ביתי 1 קג כהן תבלינים,₪ 32.00,זעתר,32.0
זרעי חרדל צהוב-כהן 1 קג תבלינים,₪ 23.00,זרעי,23.0
חמוציות חתוך חיידר 1 קג תבלינים,₪ 28.40,חמוציות,28.4
טימין 500 גרם -כהן תבלינים,₪ 30.00,טימין,30.0
כוסברה גרעינים 1 קג -כהן תבלינים,₪ 18.00,כוסברה,18.0
כוסברה טחון 1 קג תבלינים,₪ 15.00,כוסברה,15.0
כורכום טחון חיידר 1 קג תבלינים,₪ 23.00,כורכום,23.0
כורכום טחון נפטון 1 קג תבלינים,₪ 18.95,כורכום,18.95
כמון טחון כהן 1 קג תבלינים,₪ 42.00,כמון,42.0
כמון טחון 1 קג בר מן תבלינים,₪ 40.00,כמון,40.0
מוסקט טחון נפטון 1 קג תבלינים,₪ 75.00,מוסקט,75.0
מלח גס 1 קג תבלינים,₪ 1.94,מלח,1.94
מלח ים אטלנטי 1 קג תבלינים,₪ 20.00,מלח,20.0
מלח לימון 2 קג -כהן תבלינים,₪ 30.00,מלח,30.0
מלח שולחן דק 1 קג תבלינים,₪ 2.30,מלח,2.3
מקל וניל בורבון מדגסקר 3 גרם תבלינים,₪ 16.00,מקל,16.0
סומק טחון איכותי -כהן תבלינים,₪ 37.00,סומק,37.0
עלי דפנה 1 קג תבלינים,₪ 29.00,עלי,29.0
פיסטוק מקולף-כהן 1 קג תבלינים,₪ 120.00,פיסטוק,120.0
פלפל אנגלי טחון תבלינים,₪ 85.00,פלפל,85.0
פלפל אנגלי טחון נפטון 1 קג תבלינים,₪ 44.00,פלפל,44.0
פלפל אנגלי שלם תבלינים,₪ 72.00,פלפל,72.0
פלפל לבן טחון 1 קג תבלינים,₪ 49.00,פלפל,49.0
פלפל שאטה גרוס 1 קג כהן תבלינים,₪ 32.00,פלפל,32.0
פלפל שחור טחון 1 קג תבלינים,₪ 50.00,פלפל,50.0
פלפל שחור טחון נפטון 1 קג תבלינים,₪ 30.00,פלפל,30.0
פלפל שחור שלם 1 קג תבלינים,₪ 55.00,פלפל,55.0
פלפל שיפקונית פח 2.5 קג תבלינים,₪ 62.00,פלפל,62.0
פפריקה חריפה 1 קג תבלינים,₪ 24.00,פפריקה,24.0
פפריקה מתוקה 1 קג תבלינים,₪ 28.00,פפריקה,28.0
פפריקה מתוקה בשמן 1 קג תבלינים,₪ 27.00,פפריקה,27.0
פפריקה מתוקה מעושנת 1 קג תבלינים,₪ 33.00,פפריקה,33.0
פפריקה מתוקה מרוקאית 1 קג תבלינים,₪ 28.00,פפריקה,28.0
פרג שלם אקסטרא 1 קג חיידר תבלינים,₪ 32.00,פרג,32.0
צילי גרוס חריף 1 קג תבלינים,₪ 30.00,צילי,30.0
קארי אקסטרה חיידר 1 קג תבלינים,₪ 26.00,קארי,26.0
קארי כהן כשלפ 1 קג תבלינים,₪ 26.00,קארי,26.0
קוקוס טחון 1 קג -כהן תבלינים,₪ 35.00,קוקוס,35.0
קינמון טחון 1 קג תבלינים,₪ 29.00,קינמון,29.0
קצח 1 קג תבלינים,₪ 26.00,קצח,26.0
ראס אל חנות 1 קג -כהן תבלינים,₪ 50.00,ראס,50.0
ראס אל חנות נפטון 1 קג תבלינים,₪ 46.00,ראס,46.0
רוזמרין 1 קג תבלינים,₪ 26.00,רוזמרין,26.0
שום גבישי 1 קג תבלינים,₪ 38.00,שום,38.0
שומשום חום מלא 1 קג תבלינים,₪ 27.00,שומשום,27.0
שיני שום טרי 1 קג תבלינים,₪ 30.00,שיני,30.0
שקד מולבן פרוס 1 קג תבלינים,₪ 58.00,שקד,58.0
תבלין לפיצה מנות ברמן 2000 יח תבלינים,₪ 145.00,תבלין,145.0
תבלין אגוז מוסקט שלם 1 קג תבלינים,₪ 85.00,תבלין,85.0
תבלין בהר סטייק 1 קג תבלינים,₪ 35.00,תבלין,35.0
תבלין בהר שווארמה 1 קג תבלינים,₪ 35.00,תבלין,35.0
תבלין גריל עוף 1 קג -כהן תבלינים,₪ 36.00,תבלין,36.0
תבלין הל 1 קג תבלינים,₪ 100.00,תבלין,100.0
תבלין השחמה קייגן 1 קג תבלינים,₪ 30.00,תבלין,30.0
תבלין חוויג 1 קג תבלינים,₪ 24.00,תבלין,24.0
תבלין טוסקנה 1 קג תבלינים,₪ 30.00,תבלין,30.0
תבלין לפיצה 1 קג תבלינים,₪ 30.00,תבלין,30.0
תבלין לפיצה מנות 2000 יח -כהן תבלינים,₪ 145.00,תבלין,145.0
תבלין לפיצה מנות ברמן 2000 יח תבלינים,₪ 145.00,תבלין,145.0
תבלין פילדלפיה 1 קג כהן תבלינים,₪ 30.00,תבלין,30.0
תבלין פילדפליה חיידר 1 קג תבלינים,₪ 30.00,תבלין,30.0
תבלין פיצה איטלקי אדום 2000 יח תבלינים,₪ 140.00,תבלין,140.0
תבלין צילי מנות 1000 יחידות תבלינים,₪ 120.00,תבלין,120.0
תערובת תבלינים לשווארמה-כהן תבלינים,₪ 38.00,תערובת,38.0
תערובת תבלינים לשווארמה נפטון תבלינים,₪ 37.00,תערובת,37.0
